N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
3194.8,2.9,3194.8,3.9,3194.8,20.4,,,,,,
3206.9,2.9,3206.9,3.9,3206.9,20.4,,,,,,
3219.1,2.9,3219.1,3.9,3219.1,20.4,,,,,,
3231.2,2.9,3231.2,3.8,3231.2,20.4,,,,,,
3243.4,2.8,3243.4,3.8,3243.4,20.4,,,,,,
3255.5,2.8,3255.5,3.7,3255.5,20.4,,,,,,
3267.7,2.8,3267.7,3.7,3267.7,20.4,,,,,,
3279.8,2.8,3279.8,3.7,3279.8,20.4,,,,,,
3292,2.8,3292,3.6,3292,20.3,,,,,,
3304.1,2.7,3304.1,3.6,3304.1,20.3,,,,,,
3316.3,2.7,3316.3,3.5,3316.3,20.3,,,,,,
3328.4,2.7,3328.4,3.5,3328.4,20.3,,,,,,
3340.6,2.7,3340.6,3.5,3340.6,20.3,,,,,,
3352.7,2.7,3352.7,3.4,3352.7,20.3,,,,,,
3364.9,2.6,3364.9,3.4,3364.9,20.3,,,,,,
3377,2.6,3377,3.3,3377,20.3,,,,,,
3389.1,2.6,3389.1,3.3,3389.1,20.3,,,,,,
3401.3,2.6,3401.3,3.3,3401.3,20.3,,,,,,
3413.4,2.6,3413.4,3.2,3413.4,20.3,,,,,,
3425.6,2.5,3425.6,3.2,3425.6,20.3,,,,,,
3437.7,2.5,3437.7,3.2,3437.7,20.3,,,,,,
3449.9,2.5,3449.9,3.1,3449.9,20.2,,,,,,
3462,2.5,3462,3.1,3462,20.2,,,,,,
3474.2,2.5,3474.2,3,3474.2,20.2,,,,,,
3486.3,2.4,3486.3,3,3486.3,20.2,,,,,,
3498.5,2.4,3498.5,3,3498.5,20.2,,,,,,
3510.6,2.4,3510.6,2.9,3510.6,20.2,,,,,,
3522.8,2.4,3522.8,2.9,3522.8,20.2,,,,,,
3534.9,2.4,3534.9,2.9,3534.9,20.2,,,,,,
3547.1,2.3,3547.1,2.8,3547.1,20.2,,,,,,
3559.2,2.3,3559.2,2.8,3559.2,20.2,,,,,,
3571.4,2.3,3571.4,2.8,3571.4,20.2,,,,,,
3583.5,2.3,3583.5,2.7,3583.5,20.2,,,,,,
3595.7,2.3,3595.7,2.7,3595.7,20.2,,,,,,
3607.8,2.3,3607.8,2.6,3607.8,20.2,,,,,,
3620,2.2,3620,2.6,3620,20.1,,,,,,
3632.1,2.2,3632.1,2.6,3632.1,20.1,,,,,,
3644.2,2.2,3644.2,2.5,3644.2,20.1,,,,,,
3656.4,2.2,3656.4,2.5,3656.4,20.1,,,,,,
3668.5,2.2,3668.5,2.5,3668.5,20.1,,,,,,
3680.7,2.1,3680.7,2.4,3680.7,20.1,,,,,,
3692.8,2.1,3692.8,2.4,3692.8,20.1,,,,,,
3705,2.1,3705,2.4,3705,20.1,,,,,,
3717.1,2.1,3717.1,2.3,3717.1,20.1,,,,,,
3729.3,2.1,3729.3,2.3,3729.3,20.1,,,,,,
3741.4,2.1,3741.4,2.3,3741.4,20.1,,,,,,
3753.6,2,3753.6,2.2,3753.6,20.1,,,,,,
3765.7,2,3765.7,2.2,3765.7,20.1,,,,,,
3777.9,2,3777.9,2.2,3777.9,20.1,,,,,,
3790,2,3790,2.2,3790,20.1,,,,,,
3802.2,2,3802.2,2.1,3802.2,20,,,,,,
3814.3,2,3814.3,2.1,3814.3,20,,,,,,
3826.5,1.9,3826.5,2.1,3826.5,20,,,,,,
3838.6,1.9,3838.6,2,3838.6,20,,,,,,
3850.8,1.9,3850.8,2,3850.8,20,,,,,,
3862.9,1.9,3862.9,2,3862.9,20,,,,,,
3875,1.9,3875,1.9,3875,20,,,,,,
3887.2,1.9,3887.2,1.9,3887.2,20,,,,,,
3899.3,1.9,3899.3,1.9,3899.3,20,,,,,,
3911.5,1.8,3911.5,1.8,3911.5,20,,,,,,
3923.6,1.8,3923.6,1.8,3923.6,20,,,,,,
3935.8,1.8,3935.8,1.8,3935.8,20,,,,,,
3947.9,1.8,3947.9,1.7,3947.9,20,,,,,,
3960.1,1.8,3960.1,1.7,3960.1,20,,,,,,
3972.2,1.8,3972.2,1.7,3972.2,20,,,,,,
3984.4,1.7,3984.4,1.7,3984.4,20,,,,,,
3996.5,1.7,3996.5,1.6,3996.5,19.9,,,,,,
4008.7,1.7,4008.7,1.6,4008.7,19.9,,,,,,
4020.8,1.7,4020.8,1.6,4020.8,19.9,,,,,,
4033,1.7,4033,1.5,4033,19.9,,,,,,
4045.1,1.7,4045.1,1.5,4045.1,19.9,,,,,,
4057.3,1.7,4057.3,1.5,4057.3,19.9,,,,,,
4069.4,1.6,4069.4,1.5,4069.4,19.9,,,,,,
4081.6,1.6,4081.6,1.4,4081.6,19.9,,,,,,
